"jobtitle","company","location","jobsummary","posted","datapulled","yearly_salary","id"
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",11
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",40
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",41
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",42
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",43
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",45
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",46
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",17
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",52
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",54
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",31
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",44
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",47
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","EmployerActive 26 days ago","22-01-10","$45,760",53
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",55
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",56
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",57
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",58
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",59
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",23
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",61
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",62
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",63
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",64
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",67
