jobtitle,company,location,jobsummary,posted,datapulled,yearly_salary,id,coordinates
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,54,"(33.38, -118.42)"
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",Just posted,22-01-10,None,158,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,160,"(33.38, -118.42)"
Part-time Guest Services Representative,Catalina Island Conservancy,"Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a",30+ days ago,22-01-10,None,163,"(33.38, -118.42)"
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",Today,22-01-10,None,314,"(33.38, -118.42)"
Housekeeping Supervisor,Catalina Island Medical Center,"Avalon, CA",Responsible for overseeing public areas as well as patient rooms to ensure they are according to Omni's cleanliness standards.,Just posted,22-01-10,None,804,"(33.34, -118.33)"
Part-time Guest Services Representative,Catalina Island Conservancy,"Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a",30+ days ago,22-01-10,None,317,"(33.38, -118.42)"
Front Desk / Guest Services Agent,Hotel Vista Del Mar,"Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!",EmployerActive 3 days ago,22-01-10,None,806,"(33.34, -118.33)"
Airport Operations Assistant Manager,Catalina Island Conservancy,"Santa Catalina Island, CA",A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private,30+ days ago,22-01-10,None,318,"(33.38, -118.42)"
"Plant Equipment Operator, 8695 [ON-SITE]",Southern California Edison,"Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",30+ days ago,22-01-10,None,807,"(33.34, -118.33)"
Fitness Center CSR,Catalina Island Medical Center,"Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",4 days ago,22-01-10,None,808,"(33.34, -118.33)"
Housekeeper,Catalina Island Medical Center,"Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver''s license, sign the Driver Policy, and understand the key",4 days ago,22-01-10,None,809,"(33.34, -118.33)"
Front Desk / Guest Services Agent,Hotel Vista Del Mar,"Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!",EmployerActive 3 days ago,22-01-10,None,811,"(33.34, -118.33)"
"Plant Equipment Operator, 8695 [ON-SITE]",Southern California Edison,"Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",30+ days ago,22-01-10,None,813,"(33.34, -118.33)"
